Id,Day,8:10-9:00,9:00-9:50,9:50-10:40,10:40:-11:30,11:30-12:20,12:20-1:10,1:10-2:00,Section
1,Monday,DOS,BDA Lab,BDA Lab,BDA,SIC,,,7CCA1
2,Tuesday,SIC,,IOT,BDA,DS,NSM,,7CCA1
3,Wednesday,,NSM,DS,,DOS,BDA,,7CCA1
4,Thursday,NSM,IOT Lab,IO T Lab,IOT,,,,7CCA1
5,Friday,,SIC,PP-IP,PP-IP,,,,7CCA1
6,Monday,DOS,IOT Lab,IOT Lab,BDA,,,,7CCA2
7,Tuesday,SIC,,IOT,BDA,DS,NSM,,7CCA2
8,Wednesday,SIC,NSM,DS,,DOS,BDA,,7CCA2
9,Thursday,NSM,,,IOT,DOS,,DS,7CCA2
10,Friday,BDA Lab,BDA Lab,SIC,PP-IP,PP-IP,,,7CCA2
11,Monday,DS,,,,ITNS,,,7CSF1
12,Tuesday,ISICA,ITNS,,,DOS,,,7CSF1
13,Wednesday,DOS,ISICA,ITNS Lab,ITNS Lab,DS,PP-IP,PP-IP,7CSF1
14,Thursday,ISICA,,DS,DOS,ITNS,,,7CSF1
15,Friday,,,,,,,,7CSF1
16,Monday,DS,PP-IP,PP-IP,,ITNS,,,7CSF2
17,Tuesday,ISICA,ITNS,,,DOS,,,7CSF2
18,Wednesday,DOS,ISICA,,,DS,ITNS Lab,ITNS Lab,7CSF2
19,Thursday,ISICA,,DS,DOS,ITNS,,,7CSF2
20,Friday,,,,,,,,7CSF2
21,Monday,DS,PP-IP,PP-IP,BDA,,,,7BAO
22,Tuesday,,,,BDA,DOS,NSM,,7BAO
23,Wednesday,DOS,NSM,SWMA Lab,SWMA Lab,DS,BDA,SWMA,7BAO
24,Thursday,NSM,SWMA,DS,DOS,SWMA,,,7BAO
25,Friday,BDA Lab,BDA Lab,,,,,,7BAO
26,Monday,DOS,,AGP,,,3DCTGMA Lab,3DCTGMA Lab,7GAG
27,Tuesday,AGP Lab,AGP Lab,ACG Lab,ACG Lab,DS,,,7GAG
28,Wednesday,,AGP  ,DS,3DCTGMA,DOS,,,7GAG
29,Thursday,ACG,,,,DOS,,DS,7GAG
30,Friday,,ACG,3DCTGMA,PP-IP,PP-IP,,,7GAG
